term,type,canonical,source
fistula,Condition,tracheoesophageal fistula,evaluation_v2
hepatitis B,Condition,hepatitis B,evaluation_v2
hepatitis C,Condition,hepatitis C,evaluation_v2
spinal cord injury,Condition,spinal cord injury,evaluation_v2
quadriplegic,Condition,quadriplegia,evaluation_v2
quadriplegia,Condition,quadriplegia,evaluation_v2
adenovirus infection,Condition,adenovirus infection,evaluation_v2
HAdV-14 infection,Condition,adenovirus infection,evaluation_v2
HAdV-14,Condition,adenovirus infection,evaluation_v2
otitis media,Condition,otitis media,evaluation_v2
craniofacial tumor,Condition,craniofacial tumor,evaluation_v2
tumor,Condition,tumor,evaluation_v2
obstructive sleep apnea,Condition,obstructive sleep apnea,evaluation_v2
OSA,Condition,obstructive sleep apnea,evaluation_v2
fibro-osseous lesion,Condition,fibro-osseous lesion,evaluation_v2
desmoplastic fibroma,Condition,desmoplastic fibroma,evaluation_v2
fibrous dysplasia,Condition,fibrous dysplasia,evaluation_v2
neonatal compartment syndrome,Condition,neonatal compartment syndrome,evaluation_v2
compartment syndrome,Condition,neonatal compartment syndrome,evaluation_v2
ischemia,Condition,ischemia,evaluation_v2
thrombotic thrombocytopenic purpura,Condition,thrombotic thrombocytopenic purpura,evaluation_v2
TTP,Condition,thrombotic thrombocytopenic purpura,evaluation_v2
osteoporosis,Condition,osteoporosis,evaluation_v2
facial nerve palsy,Condition,facial nerve palsy,evaluation_v2
deep vein thrombosis,Condition,deep vein thrombosis,evaluation_v2
Helicobacter pylori infection,Condition,Helicobacter pylori infection,evaluation_v2
H. pylori,Condition,Helicobacter pylori infection,evaluation_v2
thrombocytopenia,Condition,thrombocytopenia,evaluation_v2
postpartum cardiomyopathy,Condition,postpartum cardiomyopathy,evaluation_v2
hydroxychloroquine-induced cardiomyopathy,Condition,hydroxychloroquine-induced cardiomyopathy,evaluation_v2
cardiomyopathy,Condition,cardiomyopathy,evaluation_v2
digital vasculitis,Condition,digital vasculitis,evaluation_v2
thrombotic microangiopathy,Condition,thrombotic microangiopathy,evaluation_v2
TMA,Condition,thrombotic microangiopathy,evaluation_v2
sepsis,Condition,sepsis,evaluation_v2
pericardial effusion,Condition,pericardial effusion,evaluation_v2
laboratory results,Exam,laboratory testing,evaluation_v2
laboratory findings,Exam,laboratory testing,evaluation_v2
histopathology,Exam,histopathology,evaluation_v2
histopathological examination,Exam,histopathology,evaluation_v2
histology,Exam,histopathology,evaluation_v2
CTA,Exam,computed tomography angiography,evaluation_v2
computed tomography angiogram,Exam,computed tomography angiography,evaluation_v2
angiogram,Exam,angiography,evaluation_v2
chest radiograph,Exam,chest X-ray,evaluation_v2
bronchoscopy,Exam,bronchoscopy,evaluation_v2
viral cultures,Exam,viral culture,evaluation_v2
immunofluorescence,Exam,immunofluorescence,evaluation_v2
gene sequencing,Exam,gene sequencing,evaluation_v2
microscopy,Exam,microscopy,evaluation_v2
neurological evaluation,Exam,neurological examination,evaluation_v2
blood smear,Exam,blood smear,evaluation_v2
ADAMTS13 activity test,Exam,ADAMTS13 activity test,evaluation_v2
PET CT,Exam,positron emission tomography,evaluation_v2
gastroduodenoscopy,Exam,gastroduodenoscopy,evaluation_v2
serologies,Exam,serological testing,evaluation_v2
pulmonary function testing,Exam,pulmonary function testing,evaluation_v2
HRCT,Exam,high-resolution computed tomography,evaluation_v2
ventilation-perfusion scan,Exam,ventilation-perfusion scan,evaluation_v2
V/Q scan,Exam,ventilation-perfusion scan,evaluation_v2
cardiac magnetic resonance imaging,Exam,cardiac magnetic resonance imaging,evaluation_v2
right heart catheterization,Exam,right heart catheterization,evaluation_v2
electron microscopy,Exam,electron microscopy,evaluation_v2
mesalamine,Treatment,mesalamine,evaluation_v2
5-ASA,Treatment,mesalamine,evaluation_v2
vedolizumab,Treatment,vedolizumab,evaluation_v2
VDZ,Treatment,vedolizumab,evaluation_v2
low molecular weight heparin,Treatment,low molecular weight heparin,evaluation_v2
LMWH,Treatment,low molecular weight heparin,evaluation_v2
corticosteroids,Treatment,corticosteroid therapy,evaluation_v2
subtotal colectomy,Treatment,subtotal colectomy,evaluation_v2
colectomy,Treatment,colectomy,evaluation_v2
terminal ileostomy,Treatment,ileostomy,evaluation_v2
ileostomy,Treatment,ileostomy,evaluation_v2
infliximab,Treatment,infliximab,evaluation_v2
IFX-B,Treatment,infliximab,evaluation_v2
azathioprine,Treatment,azathioprine,evaluation_v2
AZA,Treatment,azathioprine,evaluation_v2
abscess drainage,Treatment,abscess drainage,evaluation_v2
antibiotics,Treatment,antibiotic therapy,evaluation_v2
anti-infective therapy,Treatment,anti-infective therapy,evaluation_v2
